Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
1772758_at	SPBC29A3.18.S1	IPR002326	1772758_at	a.3.1.Cytochrome bc1 domain						
1772081_at	SPBC15D4.12c.S1		1772081_at							
1770244_at	SPAC6C3.09.S1		1770244_at							
1773574_at	SPBC1D7.02c.S1	IPR007087	1773574_at							
1773051_at	SPCC553.02.S1	IPR003010	1773051_at							
1774738_at	SPCC1827.08c.S1	IPR001810	1774738_at	a.2.7.Methicillin resistance protein FemA probable tRNA-binding						
1771333_at	SPBC83.02c.S1	IPR002674	1771333_at							
1772444_at	SPAC144.10c.S1	IPR009447	1772444_at							
1775721_at	SPBC216.03.S1		1775721_at							
1779783_at	SPAC17A5.14.S1	IPR004859	1779783_at							
1779852_at	SPAPB18E9.03c.S1		1779852_at							
1775811_at	SPAC56F8.11.S1	IPR007653	1775811_at							
1771099_at	SPCC63.04.S1		1771099_at							
1779666_at	SPBC2G2.02.S1	IPR002013	1779666_at							
1769835_at	SPBC16E9.17c.S1	IPR006671	1769835_at							
1775581_at	SPCC320.03.S1	IPR001138	1775581_at							
1769660_at	SPAC22G7.06c.S1	IPR005479	1769660_at							
1775591_at	SPAC9E9.05.S1		1775591_at							
1770293_at	SPBC2F12.02c.S1	IPR002132	1770293_at							
1774634_at	SPAC13G6.07c.S1	IPR001377	1774634_at							
1770494_at	SPAC1F7.02c.S1	IPR001650	1770494_at	a.4.5.GntR-like transcriptional regulators						
1773512_at	SPAC4H3.13.S1		1773512_at							
1779997_at	SPBC16D10.01c.S1		1779997_at							
1770822_at	SPAC30.03c.S1	IPR002848	1770822_at							
1773577_at	SPBC1E8.02.S1	IPR000626	1773577_at							
1778575_at	SPAC11H11.03c.S1	IPR002625	1778575_at							
1774924_at	SPAC31G5.19.S1	IPR003959	1774924_at							
1771491_at	SPAC458.02c.S1		1771491_at							
1770986_at	SPBC8D2.18c.S1	IPR000043	1770986_at							
1771610_at	SPBC646.15c.S1		1771610_at							
1776942_at	SPCC1494.03.S1		1776942_at							
1775894_at	SPAC17A2.04c.S1	IPR001440	1775894_at							
1769524_at	SPAC3F10.09.S1		1769524_at							
1774479_at	SPBC2A9.02.S1		1774479_at							
1779037_at	SPBC9B6.05c.S1	IPR001163	1779037_at							
1779781_at	SPBPB2B2.13.S1	IPR006204	1779781_at							
1775646_at	SPBC1734.03.S1	IPR006157	1775646_at							
1777116_at	SPAC8C9.06c.S1	IPR002885	1777116_at							
1772964_at	SPAC24C9.09.S1	IPR004154	1772964_at							
1778841_at	SPAC4D7.06c.S1		1778841_at							
1771704_at	SPBC1711.14.S1		1771704_at							
1773263_at	SPAC6F12.17.S1	IPR008847	1773263_at							
1779876_at	SPBC3D6.15.S1	IPR004977	1779876_at							
1778939_at	SPCC18.16c.S1	IPR002606	1778939_at							
1780245_at	SPAC222.06.S1	IPR006958	1780245_at							
1771216_at	SPAC22F3.11c.S1		1771216_at							
1776376_at	SPAC1834.02.S1	IPR000623	1776376_at							
1779916_at	SPAC1556.02c.S1	IPR004112	1779916_at							
1770346_at	SPBC20F10.06.S1	IPR003511	1770346_at							
1770937_at	SPCC970.08.S1	IPR005522	1770937_at							
1777957_at	SPBC16D10.03.S1	IPR000905	1777957_at							
1777279_at	SPAC19G12.15c.S1	IPR003337	1777279_at							
1772363_at	SPCC1795.09.S1	IPR001461	1772363_at							
1773928_at	SPBC660.16.S1	IPR006115	1773928_at							
1770505_at	SPCC1620.05.S1	IPR002088	1770505_at							
1780035_at	SPAP8A3.05.S1		1780035_at							
1771111_at	SPAC105.03c.S1	IPR007219	1771111_at							
1770426_at	SPAC922.06.S1	IPR002198	1770426_at							
1774379_at	SPAC4F8.03.S1	IPR002140	1774379_at							
1778924_at	SPAC6G10.12c.S1	IPR007087	1778924_at							
1771858_at	SPAC1805.07c.S1		1771858_at							
1779694_at	SPBC530.05.S1	IPR007219	1779694_at	a.3.1.monodomain cytochrome c						
1773371_at	SPBC1289.11.S1	IPR001680	1773371_at	a.4.1.Homeodomain						
1775256_at	SPAC26A3.07c.S1	IPR002132	1775256_at							
1771761_at	SPAC3C7.07c.S1	IPR007471	1771761_at							
1779540_at	SPAC644.04.S1	IPR004206	1779540_at							
1771445_at	SPAC26A3.17c.S1		1771445_at							
1770595_at	SPAP8A3.07c.S1	IPR006218	1770595_at							
1776432_at	SPBC29A3.12.S1	IPR002942	1776432_at							
1775194_at	SPAC20G4.05c.S1	IPR003846	1775194_at							
1774247_at	SPCC645.07.S1	IPR001849	1774247_at							
1773759_at	SPCC622.12c.S1	IPR006097	1773759_at							
1772987_at	SPAC186.05c.S1	IPR001727	1772987_at							
1778761_at	SPAC4H3.12c.S1		1778761_at							
1770434_at	SPBP26C9.03c.S1	IPR007251	1770434_at							
1777649_at	SPBC365.10.S1	IPR004000	1777649_at							
1773542_at	SPAC22E12.10c.S1	IPR001041	1773542_at							
1772492_at	SPCC330.09.S1		1772492_at							
1771467_at	SPCC584.12.S1		1771467_at							
1772747_at	SPCC16C4.12.S1	IPR000182	1772747_at							
1773270_at	SPAPYUG7.06.S1	IPR008580	1773270_at							
1778670_at	SPAC29A4.11.S1	IPR001781	1778670_at							
1769699_at	SPBC106.06.S1	IPR002423	1769699_at							
1779250_at	SPAC167.05.S1	IPR006016	1779250_at							
1775411_at	SPAC24H6.03.S1	IPR001373	1775411_at	a.4.5.SCF ubiquitin ligase complex WHB domain						
1775834_at	SPAC13G7.11.S1		1775834_at							
1779395_at	SPBC1289.08.S1	IPR002618	1779395_at							
1771964_at	SPAC1952.12c.S1	IPR000717	1771964_at							
1775785_at	SPAC22E12.09c.S1	IPR002884	1775785_at							
1775077_at	SPAC25B8.05.S1	IPR001406	1775077_at	a.4.5.MarR-like transcriptional regulators						
1779886_at	SPAC607.08c.S1	IPR007941	1779886_at							
1774466_at	SPAC30D11.11.S1	IPR004254	1774466_at							
1773432_at	SPCC584.05.S1	IPR001619	1773432_at							
1774758_at	SPAC824.06.S1	IPR001623	1774758_at	a.2.3.Chaperone J-domain						
1774217_at	SPCC550.13.S1	IPR001357	1774217_at							
1778309_at	SPAC1F7.01c.S1	IPR003029	1778309_at	a.4.5.C-terminal fragment of elongation factor SelB						
1776461_at	SPAC4D7.10c.S1		1776461_at							
1771421_at	SPAC4G9.10.S1	IPR006132	1771421_at							
1769678_at	SPAC1142.09.S1		1769678_at							
1769963_at	SPAC664.09.S1	IPR000101	1769963_at							
1772385_at	SPAC9G1.03c.S1	IPR004038	1772385_at							
1769427_at	SPCC1259.01c.S1		1769427_at							
1778967_at	SPAC2G11.06.S1	IPR007330	1778967_at							
1776895_at	SPAC2E1P5.04c.S1	IPR001330	1776895_at							
1769592_at	SPBC30D10.15.S1	IPR008696	1769592_at							
1777331_at	SPAC25G10.03.S1		1777331_at							
1774955_at	SPAC14C4.07.S1		1774955_at							
1771845_at	SPBC20F10.08c.S1		1771845_at							
1779502_at	SPCC970.06.S1	IPR002995	1779502_at							
1773474_at	SPAC12G12.10.S1		1773474_at							
1770849_at	SPAC6F12.12.S1	IPR002554	1770849_at							
1776458_at	SPAC144.13c.S1	IPR001680	1776458_at							
1772286_at	SPAC16C9.05.S1	IPR001965	1772286_at							
1779768_at	SPAC22H12.05c.S1		1779768_at							
1774839_at	SPBC337.13c.S1	IPR006762	1774839_at							
1771727_at	SPAC1002.08c.S1	IPR001737	1771727_at							
1774934_at	SPBP16F5.05c.S1	IPR002110	1774934_at							
1778586_at	SPAC10F6.17c.S1	IPR001932	1778586_at							
1772050_at	SPAC926.04c.S1	IPR001404	1772050_at							
1780168_at	SPBC1105.03c.S1	IPR000114	1780168_at							
1773634_at	SPBC409.17c.S1		1773634_at							
1770613_at	SPAC11E3.15.S1	IPR002671	1770613_at							
1773297_at	SPCC1183.05c.S1	IPR000977	1773297_at							
1774043_at	SPCC320.10.S1		1774043_at							
1778326_at	SPCC24B10.16c.S1		1778326_at							
1770693_at	SPAC6F12.05c.S1	IPR007373	1770693_at							
1771050_at	SPCC285.11.S1	IPR001012	1771050_at							
1770422_at	SPBC16E9.16c.S1		1770422_at							
1779657_at	SPAC23C11.01.S1		1779657_at							
1775865_at	SPBC16D10.05.S1		1775865_at							
1774021_at	SPCC757.02c.S1		1774021_at							
1771113_at	SPAC23H4.11c.S1		1771113_at							
1777275_at	SPAC664.05.S1	IPR001380	1777275_at							
1777370_at	SPBC530.12c.S1	IPR000326	1777370_at							
1770752_at	SPAC26A3.01.S1	IPR001461	1770752_at							
1775094_at	SPAC5D6.05.S1		1775094_at							
1772012_at	SPAC1039.09.S1	IPR004841	1772012_at							
1775026_at	SPAC1687.11.S1	IPR002877	1775026_at							
1779770_at	SPBC365.07c.S1		1779770_at							
1778101_at	SPAC23A1.06c.S1	IPR000719	1778101_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.1.5	
1770111_at	SPAC22F8.07c.S1	IPR001005	1770111_at	a.4.1.Myb						
1771155_at	SPBC29A10.08.S1	IPR004886	1771155_at							
1773609_at	SPAC57A7.13.S1	IPR000467	1773609_at							
1774591_at	SPAC1F3.09.S1	IPR006767	1774591_at							
1773330_at	SPAC18G6.04c.S1	IPR001085	1773330_at							
1775370_at	SPAC5D6.09c.S1	IPR000791	1775370_at							
1772506_at	SPBC32F12.08c.S1		1772506_at							
1770439_at	SPBC14F5.09c.S1	IPR000362	1770439_at							
1770117_at	SPAC6G9.08.S1	IPR001394	1770117_at							
1775143_at	SPBC1709.18.S1	IPR001040	1775143_at							
1772119_at	SPAC9.07c.S1	IPR004095	1772119_at							
1779206_at	SPAC27D7.13c.S1	IPR000938	1779206_at	a.2.5.Prefoldin						
1776693_at	SPCC2H8.02.S1	IPR005828	1776693_at							
1774301_at	SPAC5H10.08c.S1	IPR003721	1774301_at							
1771418_at	SPCC1259.13.S1	IPR000719	1771418_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.2.12	
1773965_at	SPCC63.05.S1	IPR007304	1773965_at							
1776071_at	SPAC227.15.S1		1776071_at							
1771351_at	SPCC1235.02.S1	IPR010722	1771351_at							
1772629_at	SPBC725.09c.S1	IPR004148	1772629_at							
1772141_at	SPCC553.09c.S1	IPR007200	1772141_at							
1779116_at	SPAC31G5.08.S1	IPR003754	1779116_at							
1778480_at	SPAC4G8.07c.S1	IPR002792	1778480_at							
1773417_at	SPAC1006.07.S1	IPR001650	1773417_at							
1779437_at	SPAC343.20.S1		1779437_at							
1772537_at	SPBC1A4.02c.S1	IPR001804	1772537_at							
1772339_at	SPAC3H1.07.S1	IPR006035	1772339_at							
1777522_at	SPBC18A7.01.S1	IPR000994	1777522_at							
1769820_at	SPBC14F5.12c.S1	IPR004875	1769820_at	a.4.1.Centromere-binding						
1769532_at	SPBC428.16c.S1	IPR001806	1769532_at							
1775168_at	SPAC56F8.12.S1		1775168_at							
1772530_at	SPAC4A8.02c.S1	IPR001602	1772530_at							
1775429_at	SPBC83.18c.S1	IPR000008	1775429_at	a.140.4.Recombination endonuclease VII, C-terminal and dimerizat						
1773701_at	SPAC17H9.04c.S1	IPR000504	1773701_at							
1775909_at	SPAC22A12.14c.S1	IPR005607	1775909_at							
1770819_at	SPAC20G8.10c.S1	IPR007243	1770819_at							
1778019_at	SPAC22A12.11.S1	IPR004006	1778019_at	a.140.1.LEM domain						
1769630_at	SPAC227.13c.S1	IPR002871	1769630_at							
1772650_at	SPCC4G3.19.S1		1772650_at							
1771662_at	SPBP4H10.07.S1	IPR001841	1771662_at							
1773942_at	SPAC16E8.07c.S1	IPR002490	1773942_at							
1777884_at	SPBC354.10.S1		1777884_at							
1777996_at	SPBC1718.05.S1	IPR007194	1777996_at							
1777984_at	SPAP27G11.11c.S1		1777984_at							
1777935_at	SPAC15A10.09c.S1		1777935_at							
1771553_at	SPCC1682.11c.S1		1771553_at							
1776986_at	SPAC1F8.01.S1	IPR005828	1776986_at							
1769595_at	SPAC12G12.05c.S1	IPR003162	1769595_at							
1775655_at	SPBC660.14.S1	IPR000719	1775655_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.1.8	
1777187_at	SPBC18H10.15.S1	IPR000719	1777187_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				3.1.6	
1772808_at	SPAC16A10.01.S1	IPR010619	1772808_at							
1770468_at	SPCC417.11c.S1	IPR005814	1770468_at							
1769748_at	SPBC336.14c.S1	IPR000719	1769748_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				3.1.7	
1775898_at	SPAC977.13c.S1		1775898_at							
1770984_at	SPAC6B12.11.S1		1770984_at							
1772304_at	SPBPB21E7.08.S1		1772304_at							
1776979_at	SPAC1486.10.S1	IPR007219	1776979_at							
1777568_at	SPAC13C5.03.S1	IPR007292	1777568_at							
1775589_at	SPAPB17E12.13.S1	IPR000039	1775589_at							
1773947_at	SPBC839.10.S1		1773947_at							
1774135_at	SPAC14C4.15c.S1	IPR001375	1774135_at							
1777552_at	SPAP32A8.03c.S1	IPR001841	1777552_at							
1777071_at	SPAC24B11.14.S1		1777071_at							
1769724_at	SPBC119.07.S1	IPR000357	1769724_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				2.1.5	
1772077_at	SPAC9E9.04.S1	IPR008417	1772077_at							
1772230_at	SPBC577.12.S1	IPR006175	1772230_at							
1771746_at	SPBC800.12c.S1	IPR000626	1771746_at							
1776266_at	SPBC1778.03c.S1	IPR000086	1776266_at							
1775284_at	SPAC15F9.01c.S1		1775284_at							
1774399_at	SPBC106.16.S1	IPR001353	1774399_at							
1771815_at	SPBP23A10.13.S1		1771815_at							
1771487_at	SPCP1E11.04c.S1		1771487_at							
1774325_at	SPBC3H7.11.S1		1774325_at							
1772150_at	SPBC2F12.05c.S1	IPR001849	1772150_at							
1771628_at	SPCC794.03.S1	IPR004841	1771628_at							
1771756_at	SPCC1919.07.S1		1771756_at							
1769949_at	SPBP8B7.03c.S1	IPR002136	1769949_at							
1777534_at	SPBC1289.03c.S1	IPR001806	1777534_at	a.4.1.Centromere-binding						
1776253_at	SPAC56F8.05c.S1		1776253_at							
1773523_at	SPAC27F1.06c.S1	IPR001179	1773523_at							
1769771_at	SPAC22F3.04.S1	IPR000873	1769771_at		(Q42524) 4-coumarate--CoA ligase 1 (EC 6.2.1.12) (4CL 1) (4-coumaroyl-CoA synthase 1)					
1769644_at	SPBC337.10c.S1	IPR007785	1769644_at							
1769436_at	SPBC1734.15.S1	IPR001487	1769436_at							
1771267_at	SPCC188.06c.S1	IPR000897	1771267_at							
1776469_at	SPBC13E7.07.S1		1776469_at							
1779285_at	SPBC119.15.S1	IPR004130	1779285_at							
1770915_at	SPBP35G2.12.S1	IPR000086	1770915_at							
1778846_at	SPBC11B10.06.S1	IPR007527	1778846_at							
1774472_at	SPCPB16A4.03c.S1	IPR004362	1774472_at							
1771482_at	SPBC17G9.12c.S1		1771482_at							
1779562_at	SPBC1348.13.S1		1779562_at							
1770550_x_at	SPBC1348.13.S1		1770550_x_at							
1772815_at	SPCC584.03c.S1	IPR008812	1772815_at							
1779171_at	SPBC6B1.10.S1	IPR001680	1779171_at							
1779528_at	SPAC3G9.09c.S1	IPR003029	1779528_at							
1769405_at	SPBC215.15.S1	IPR001680	1769405_at							
1779444_at	SPCC1739.06c.S1	IPR000878	1779444_at							
1778393_at	SPAC637.08.S1		1778393_at							
1772000_at	SPAC30C2.08.S1		1772000_at							
1777651_at	SPCC965.06.S1	IPR001395	1777651_at	a.4.1.AraC type transcriptional activator						
1774782_at	SPAC23A1.15c.S1	IPR005606	1774782_at							
1770169_at	SPBC36B7.03.S1	IPR004179	1770169_at	a.4.5.MarR-like transcriptional regulators						
1770842_at	SPAC1F5.06.S1	IPR001023	1770842_at							
1778904_at	SPAC6B12.02c.S1		1778904_at							
1774089_at	SPAC1952.10c.S1		1774089_at							
1770025_at	SPBC1105.16c.S1	IPR007175	1770025_at							
1779170_at	SPAC25B8.18.S1		1779170_at							
1779879_at	SPBC947.08c.S1		1779879_at							
1775259_at	SPBC1709.03.S1		1775259_at							
1771066_at	SPCC16A11.04.S1	IPR003114	1771066_at							
1770932_at	SPAC5D6.06c.S1		1770932_at							
1776564_at	SPAC23G3.02c.S1	IPR006163	1776564_at		(Q9NUB1) Acetyl-coenzyme A synthetase 2-like, mitochondrial precursor (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2)					
1769842_at	SPAC12G12.16c.S1	IPR006085	1769842_at							
1772111_at	SPCC320.06.S1		1772111_at							
1775741_at	SPAC343.02.S1	IPR001857	1775741_at							
1778463_at	SPCC1739.14.S1	IPR007231	1778463_at							
1779384_at	SPBC577.09.S1	IPR001680	1779384_at							
1770356_at	SPCC63.14.S1		1770356_at							
1778829_at	SPBC428.05c.S1	IPR001518	1778829_at							
1773776_at	SPCC1183.08c.S1	IPR002143	1773776_at							
1769651_at	SPBC18H10.08c.S1	IPR001394	1769651_at							
1775110_at	SPBC14F5.07.S1	IPR001841	1775110_at							
1774078_at	SPBC19G7.05c.S1	IPR003440	1774078_at							
1777220_at	SPBC646.13.S1	IPR000644	1777220_at							
1779612_at	SPAC19A8.05c.S1	IPR000306	1779612_at							
1772757_at	SPBC342.02.S1	IPR007639	1772757_at							
1777410_at	SPBC359.02.S1	IPR000821	1777410_at							
1776086_at	SPBC800.11.S1	IPR001910	1776086_at							
1777001_at	SPBP23A10.12.S1	IPR010414	1777001_at							
1774384_at	SPBC30D10.13c.S1	IPR005475	1774384_at							
1772929_at	SPBC13G1.06c.S1	IPR008011	1772929_at							
1780063_at	SPBC2G5.02c.S1	IPR000704	1780063_at							
1774123_at	SPAC17G6.16c.S1	IPR001279	1774123_at							
1773801_at	SPCC11E10.03.S1		1773801_at							
1779595_at	SPAC1783.01.S1	IPR003097	1779595_at							
1773724_at	SPBC27.04.S1		1773724_at							
1774761_at	SPAC6C3.08.S1	IPR002110	1774761_at							
1777420_at	SPCC16C4.03.S1	IPR000297	1777420_at							
1773041_at	SPCC18B5.05c.S1		1773041_at							
1772132_at	SPAC6F6.15.S1	IPR001806	1772132_at							
1773487_at	SPAC607.03c.S1	IPR004038	1773487_at							
1774638_at	SPAC323.04.S1	IPR003439	1774638_at							
1774746_at	SPAC1F7.11c.S1	IPR007219	1774746_at							
1778715_at	SPBC32H8.04c.S1	IPR006984	1778715_at							
1774292_at	SPBC776.07.S1	IPR003428	1774292_at							
1777392_at	SPAC869.11.S1	IPR004841	1777392_at							
1774047_at	SPAC11D3.09.S1	IPR006035	1774047_at							
1776573_at	SPCC584.11c.S1		1776573_at							
1771821_at	SPCC576.19c.S1		1771821_at							
1779220_at	SPAC56F8.03.S1	IPR004161	1779220_at							
1774524_at	SPBC4F6.06.S1	IPR001772	1774524_at		(P00519) Proto-oncogene tyrosine-protein kinase ABL1 (EC 2.7.1.112) (p150) (c-ABL)				2.2.3	
1775870_at	SPAC15A10.02.S1	IPR003228	1775870_at							
1773390_at	SPAC19G12.07c.S1	IPR000504	1773390_at							
1775711_at	SPCC1919.03c.S1	IPR006828	1775711_at							
1777074_at	SPAC13F5.06c.S1	IPR009976	1777074_at							
1769995_at	SPCC330.05c.S1	IPR001754	1769995_at							
1771306_at	SPBC9B6.10.S1	IPR004918	1771306_at							
1770476_at	SPBC409.12c.S1		1770476_at							
1774464_at	SPAC6B12.08.S1	IPR001623	1774464_at	a.2.3.Chaperone J-domain						
1770553_at	SPBC16H5.11c.S1	IPR007857	1770553_at							
1776577_at	SPAC1F7.08.S1	IPR001117	1776577_at							
1775903_at	SPAC10F6.07c.S1		1775903_at							
1769343_at	SPAPB8E5.05.S1	IPR005555	1769343_at							
1774031_x_at	SPAPB8E5.05.S1	IPR005555	1774031_x_at							
1776078_at	SPAC19G12.01c.S1		1776078_at							
1769862_at	SPCC1753.04.S1	IPR000760	1769862_at							
1772191_at	SPAC8E11.10.S1	IPR002198	1772191_at							
1773006_at	SPCP1E11.03.S1	IPR000698	1773006_at							
1779619_at	SPAC22F8.04.S1		1779619_at							
1779023_at	SPBC530.09c.S1	IPR000296	1779023_at							
1775782_at	SPCC1450.15.S1	IPR009580	1775782_at							
1779621_at	SPAC1F12.02c.S1	IPR001983	1779621_at							
1777500_at	SPAC10F6.04.S1		1777500_at							
1773505_at	SPAP27G11.16.S1		1773505_at							
1775238_at	SPCC338.13.S1		1775238_at	a.4.5.CAP C-terminal domain-like						
1774919_at	SPBC839.05c.S1	IPR001210	1774919_at							
1779104_at	SPBC11C11.02.S1	IPR001452	1779104_at							
1779192_at	SPAC17A2.06c.S1		1779192_at							
1773555_at	SPAC13G7.10.S1	IPR001005	1773555_at	a.4.1.DNA-binding domain of human telomeric protein, hTRF1						
1778986_at	SPCC191.05c.S1	IPR007710	1778986_at							
1774352_at	SPBC3B8.04c.S1	IPR004331	1774352_at							
1777839_at	SPBC887.06c.S1	IPR001683	1777839_at							
1779065_at	SPBC3E7.12c.S1		1779065_at	a.4.5.MarR-like transcriptional regulators						
1777447_at	SPBC409.21.S1		1777447_at							
1774432_at	SPBC27B12.06.S1	IPR002591	1774432_at							
1773322_at	SPBC800.02.S1		1773322_at							
1776300_at	SPBC1105.02c.S1	IPR000891	1776300_at							
1770642_at	SPCC1020.10.S1	IPR000719	1770642_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)				3.1.1	
1772276_at	SPBP4H10.16c.S1		1772276_at							
1773495_at	SPAC23A1.05.S1		1773495_at							
1774283_at	SPBC1711.17.S1	IPR007502	1774283_at							
1779161_at	SPCC622.10c.S1		1779161_at							
1780121_at	SPCC970.07c.S1		1780121_at							
1769859_at	SPAC22F3.09c.S1	IPR003163	1769859_at							
1780159_at	SPAC26A3.11.S1	IPR003010	1780159_at							
1778236_at	SPAC4F8.12c.S1	IPR000555	1778236_at	a.2.3.Chaperone J-domain						
1773252_at	SPAC959.06c.S1		1773252_at							
1779855_at	SPBC24C6.11.S1	IPR001748	1779855_at							
1771486_at	SPAC1006.02.S1	IPR001680	1771486_at							
1770906_at	SPAC1142.03c.S1		1770906_at							
1778298_at	SPBC1773.05c.S1	IPR002085	1778298_at							
1770638_at	SPBC21D10.07.S1		1770638_at							
1777977_at	SPAPJ698.03c.S1	IPR004871	1777977_at							
1777676_at	SPAC3G9.12.S1		1777676_at							
1772507_at	SPAC3A12.04c.S1	IPR002738	1772507_at							
1777101_at	SPBC887.12.S1	IPR005834	1777101_at		(Q9NTI2) Potential phospholipid-transporting ATPase IB (EC 3.6.3.1) (ATPase class I type 8A member 2) (ML-1)					
1776532_at	SPBC32F12.07c.S1	IPR001841	1776532_at							
1769631_at	SPCC5E4.06.S1	IPR003395	1769631_at	a.2.5.Prefoldin						
1778509_at	SPCC757.09c.S1	IPR004087	1778509_at							
1772601_at	SPBP8B7.22.S1	IPR000133	1772601_at							
1778997_at	SPCC70.10.S1		1778997_at							
1773416_at	SPAC1071.11.S1	IPR002563	1773416_at							
1779636_at	SPAC17G8.04c.S1	IPR006789	1779636_at							
1772285_at	SPBC725.14.S1	IPR006855	1772285_at							
1777131_at	SPCC830.09c.S1	IPR002759	1777131_at							
1777597_at	SPBC1778.01c.S1	IPR001623	1777597_at	a.2.3.Chaperone J-domain						
1774024_at	SPCC757.11c.S1		1774024_at							
1769693_at	SPAC607.10.S1		1769693_at							
1775228_at	SPAP8A3.06.S1	IPR000571	1775228_at							
1776780_at	SPBC582.03.S1	IPR006671	1776780_at							
1772301_at	SPAC27E2.07.S1		1772301_at							
1777895_at	SPCC4G3.10c.S1	IPR004583	1777895_at							
1771767_at	SPCC1259.05c.S1		1771767_at							
1773945_at	SPAPYUK71.03c.S1	IPR000008	1773945_at							
1772569_at	SPBP35G2.03c.S1		1772569_at							
1773754_at	SPBC21B10.02.S1		1773754_at							
1770647_at	SPAC144.18.S1		1770647_at							
1769646_at	SPBC29B5.04c.S1		1769646_at							
1778108_at	SPBC19C7.06.S1	IPR004154	1778108_at							
1772395_at	SPBC17G9.02c.S1	IPR007852	1772395_at	a.140.3.Rho termination factor, N-terminal domain						
1771898_at	SPBC685.03.S1		1771898_at							
1772523_at	SPBC20F10.09.S1	IPR001163	1772523_at							
1770807_at	SPCC584.13.S1		1770807_at							
1778313_at	SPAPYUG7.05.S1	IPR000304	1778313_at							
1769480_at	SPBC530.15c.S1		1769480_at							
1774178_at	SPBC23G7.16.S1	IPR007274	1774178_at							
1779495_at	SPCC285.16c.S1	IPR007861	1779495_at							
1776284_at	SPBC902.05c.S1	IPR001804	1776284_at							
1776977_at	SPAC22A12.17c.S1	IPR002198	1776977_at							
1770198_at	SPCC1919.10c.S1	IPR004009	1770198_at							
1772273_at	SPBC4C3.07.S1	IPR000555	1772273_at							
1779785_at	SPAC3C7.11c.S1	IPR001580	1779785_at							
1769470_at	SPAC30D11.12.S1	IPR002675	1769470_at							
1779204_at	SPAC1610.01.S1		1779204_at							
1780057_at	SPAC110.03.S1	IPR001806	1780057_at							
1777573_at	SPAPB2C8.01.S1		1777573_at							
1770223_at	SPAC1420.01c.S1		1770223_at							
1776637_at	SPBC16A3.16.S1		1776637_at							
1778603_at	SPBC685.04c.S1	IPR000804	1778603_at							
1772811_at	SPBC115.01c.S1	IPR001247	1772811_at							
1772094_at	SPBC18E5.07.S1		1772094_at							
1776545_at	SPBC1347.02.S1	IPR001179	1776545_at							
1770320_at	SPAC2F3.08.S1		1770320_at							
1774418_at	SPCC1259.14c.S1		1774418_at							
1775994_at	SPAC18B11.07c.S1	IPR000608	1775994_at							
