!Gene Symbol	EGF_Baseline	EGF_Stimulus
CG4562	0.83	0.90
mRpS29	-0.85	0.32
CG34398	-2.13	-0.61
CG9067	-0.61	0.61
CG13159	-1.94	0.44
Or98b	-0.60	-0.76
Acp95EF	-0.61	0.51
CG18469	-1.17	-1.49
CG13229	-1.86	0.89
TwdlR	-0.83	-0.83
Sema-1b	-0.61	0.66
Arp2	-1.10	-0.99
CG11379	-0.83	-0.31
mex1	-1.46	-1.09
CG14491	-0.23	0.42
numb	0.60	0.20
CG18428	-0.43	0.33
CG1582	0.89	0.40
CG3520	-1.05	-0.34
nudE	1.67	-0.24
CG2157	-0.89	1.09
ifc	-1.13	0.41
CG13339	1.53	-0.38
JIL-1	-0.75	1.96
CG1663	-0.38	1.31
Gr93d	0.80	-0.17
Mdr49	0.62	-1.11
CG9769	0.70	-2.75
UbcE2H	-1.95	0.68
CG4830	0.41	0.35
CG3777	0.56	1.29
Es2	-0.90	0.58
Pcp	0.60	0.61
tub	-1.76	1.68
CG15923	1.43	-0.89
Prosalpha3	0.74	-1.08
CG30062	-0.43	-1.04
CG10068	-1.08	1.42
CG30432	1.26	0.88
CG9483	-1.00	0.29
CR40053	-1.05	-1.14
RpL34a	-0.14	-0.31
imd	0.40	-0.44
CG5110	-1.86	-0.41
park	0.46	0.35
CG31606	-0.66	-0.48
Vml	-0.83	-0.88
Whamy	-0.31	0.60
atl	0.62	0.27
CG11099	0.57	-0.64
CG11248	-0.70	0.67
hep	-0.79	1.54
amon	1.36	1.44
CG7794	-1.47	0.37
RhoGAP15B	1.94	-1.49
CG7646	-1.77	0.49
CG13994	0.90	2.00
MED20	-0.70	-0.89
CG16772	-1.01	-0.53
CG5642	1.64	0.52
Pallidin	-1.08	0.42
hth	0.70	-0.30
CG7728	0.83	-1.48
CG4021	0.63	0.44
mthl11	0.73	0.87
CG14834	-0.45	0.32
CG2685	1.73	-1.54
CG15145	-0.75	0.34
Cog3	1.89	-1.47
Smn	-1.07	-0.51
PlexB	-1.25	-0.35
sas	1.10	0.37
Top1	-2.61	-2.08
CG4101	0.83	0.80
CG10581	1.00	-0.83
CG15459	1.47	-1.45
CG15203	1.28	1.29
CG3409	-0.30	-0.45
CG14380	-1.08	-0.05
Vha55	1.19	-1.09
CG31803	-0.85	1.41
Tep3	0.56	1.80
Rel	-0.06	2.58
Vdup1	-1.62	-0.89
l(2)dtl	-0.53	2.81
CG31010	-0.96	-1.05
CG30424	1.33	-0.78
CG2887	-0.42	0.67
CG7968	-1.19	0.16
nero	-0.18	-0.24
CG7829	0.08	0.97
Yp2	1.50	0.22
Peritrophin-A	0.54	-0.22
CSN6	-1.86	1.43
CG2082	-1.23	1.62
hng1	0.98	-1.01
CG16716	0.18	0.92
Aats-thr	-1.35	-0.88
CG13611	0.49	-0.26
term	-1.19	-0.48
CG6597	0.95	0.87
CG10625	2.09	1.72
CG34011	-1.74	-0.31
CG3942	-0.24	0.98
CG33461	0.84	0.28
mthl10	0.60	0.69
CG3528	-0.93	1.33
CR32160	-0.55	1.17
CG14212	0.88	-0.77
CG14102	1.40	0.63
CG15256	0.99	1.18
CG1812	-0.81	0.70
Cpr49Ae	-1.12	2.08
vir	-0.65	-0.79
CG8316	-0.66	-0.43
Lon	0.52	-0.54
CG4365	-0.99	-0.16
byn	-0.20	-0.66
Drep-2	-1.23	0.54
Cpr66Cb	-1.47	-0.29
CG15919	0.99	0.70
CG11095	0.28	1.20
CG5388	-0.47	1.24
Aats-gln	-1.71	1.38
CG15423	0.34	-0.77
CG31226	-1.26	-1.59
Caf1-105	-0.27	0.58
CG6345	-0.97	-1.50
SIFa	1.42	0.28
CG3088	1.20	0.60
mod	-0.56	0.72
NijC	-0.24	0.28
CG16704	1.19	1.05
CG31221	-0.28	0.89
CG13510	0.54	0.60
CG14324	1.05	1.06
Pnn	0.99	0.21
CoVb	-2.46	-0.83
CG8414	0.43	-0.53
CG33260	-1.78	-1.37
CG16952	1.96	0.70
CG14905	-1.09	0.31
CG5999	0.23	2.00
CG9330	0.44	0.46
CG15611	-1.86	1.28
Cap-D2	0.37	-0.71
CG10920	0.98	0.49
nesd	0.42	-0.87
CG9259	1.22	1.10
CG4623	-0.94	0.68
ric8a	0.46	-0.53
CG3841	1.26	-0.77
aru	-1.22	-0.71
CG5096	-0.43	-1.12
CG11221	-0.59	0.23
CG11456	0.17	1.99
CG5611	-1.41	1.16
SF1	0.61	1.22
Miro	0.47	-0.52
CG11345	-1.18	0.52
CG5068	1.45	0.02
CG13685	1.03	-0.74
Ilp1	1.16	0.79
CG13895	0.43	-0.45
CG14115	-0.03	0.58
CG3964	1.84	-0.79
Bug22	0.41	0.65
CG15127	-1.18	-1.61
CG6602	-0.95	0.44
ast	-1.52	0.10
Fis1	-1.48	0.55
CG11192	-0.65	0.35
Cdc27	8.01	-4.71
Oatp33Ea	1.28	-0.56
CG34265	-0.52	-0.45
Ets97D	-0.61	-0.61
CG17637	-1.60	0.66
v	-0.18	-1.12
l(1)sc	-1.63	-0.39
CG34380	-1.00	1.18
CG4988	0.62	1.67
PAN2	-0.66	0.52
Cp190	-0.28	-1.55
ncd	0.59	-1.14
Vmat	1.85	0.54
GluRIIE	-0.70	-1.11
meigo	1.37	1.32
Cha	-2.01	-1.73
CG8213	-1.31	0.80
CG4119	-1.92	0.49
CG11788	-0.45	-0.60
moody	1.56	1.09
okr	-1.13	0.72
GABPI	-0.37	0.34
CG17760	1.12	1.52
CG32683	-1.46	-0.62
Hip14	0.16	1.48
CG8563	-0.84	0.34
CG18095	0.69	1.34
CG6770	-7.24	-5.65
CG10638	-1.15	-0.14
CG14464	-1.16	-0.82
CG12213	0.81	1.39
pic	-0.55	-2.05
CG14062	1.19	-0.12
CG30116	1.20	0.43
CG12003	-0.67	-0.63
Npc1b	1.47	0.45
CG32305	-1.08	-0.07
Sesn	-0.83	-0.44
CG17737	0.55	1.30
cup	0.92	-0.39
CG17739	0.39	-1.27
CG31823	0.18	-0.47
rhi	0.88	-0.78
CG32409	-1.06	-0.52
CycB	0.58	3.18
CG33307	2.04	1.17
CG12106	-0.50	1.03
CG3527	-0.86	-0.03
CG4887	-1.24	1.20
CG31345	1.17	1.90
CG5281	1.16	0.94
sqa	-0.66	0.78
CG7342	-0.39	1.15
CG1998	-0.78	-0.74
RacGAP84C	-0.40	-0.27
CG15554	-1.12	1.08
CG4880	-0.41	-0.70
CG42729	-1.36	-1.13
tap	1.10	-1.97
CG14010	-0.91	1.12
exu	0.40	0.33
Rbbp5	0.81	-0.23
CG14069	-1.29	-0.70
CG31019	-1.76	-0.98
Muc68E	0.70	1.15
CG6073	1.70	1.33
CG13931	1.44	-0.74
CG9686	1.23	-1.83
RNaseX25	2.16	-0.78
CG13204	0.67	0.75
dos	-0.80	-0.18
qjt	-1.33	-1.20
RpS3A	2.27	-3.58
Trf	-0.95	1.23
CG7191	-1.76	0.94
beat-Ib	1.13	0.54
CG3939	1.22	0.94
CG42678	1.83	1.50
CG30271	0.40	1.23
Rad23	-0.67	0.45
cni	-0.87	-0.99
bsk	0.88	1.00
Oatp58Dc	-1.08	-0.34
CG13830	-1.96	-1.20
CG15414	1.10	0.76
Pex10	-1.03	0.53
CG7202	-1.77	0.30
CanA1	1.32	0.25
Dyrk2	-0.74	1.24
CG17600	0.88	0.72
CG5500	-1.36	-0.55
Karybeta3	1.92	-2.35
Jheh2	-0.76	0.97
RpS4	3.85	-2.92
CG4960	0.73	1.65
CG8526	-0.66	0.99
Hmr	-0.95	0.93
CG2993	-1.89	1.08
CG30484	0.80	-0.46
CG5103	1.11	1.21
CG30268	-1.19	-1.23
CG8777	0.70	-0.91
CR33013	-0.35	-0.60
CG14645	0.51	1.15
CG30491	-0.42	-1.65
Bub3	0.65	-1.42
capt	0.84	1.01
tinc	-0.76	-0.72
CG8925	1.26	9.19
CG33189	1.49	1.20
Act5C	-0.30	-1.67
CG13609	-1.32	-0.86
betaTub85D	2.14	1.40
CG4164	-2.10	-1.46
CG4318	-0.59	0.55
CG14568	-1.58	-0.41
CG10366	-1.29	0.72
CG31731	-1.92	0.95
ppk5	1.08	0.78
CG34417	-1.72	1.01
CG17134	-0.87	0.60
CG11275	-0.37	0.82
Atet	-1.53	0.39
CG12713	0.60	1.26
CG14579	-1.05	0.03
CG1806	1.09	1.81
CG6841	1.89	3.09
Chd64	-0.72	-0.95
isoQC	-1.27	0.34
CG8646	0.41	-0.35
pont	-2.71	-2.88
S-Lap4	-1.51	1.04
CG11362	-1.32	0.82
CG1428	-1.13	0.28
Ir75c	1.38	1.21
Atg101	-0.98	-0.23
Arpc3A	-1.07	-0.54
CG9030	0.91	0.50
CG5937	1.36	0.59
glu	1.44	1.71
CG30373	-0.45	1.26
CG14377	-0.49	0.55
Orc4	-0.91	0.34
Spn42Dd	-1.48	-2.30
Rab3-GEF	-0.26	0.57
Gbeta13F	1.46	1.16
CG9003	1.41	0.31
h-cup	0.71	-1.43
mRpL37	0.09	-0.10
CG9029	0.37	0.36
CG15927	0.27	-0.14
CG12090	-1.69	-0.95
CG34261	-1.55	-0.32
Ssu72	0.48	1.40
wkd	1.38	0.79
CG31407	-2.03	0.29
CG6055	0.54	1.66
CG1979	1.16	-0.73
Gcn2	-0.30	0.34
CG14006	0.38	1.79
CG1703	0.27	0.69
CG18171	1.32	0.61
CG7611	-1.17	-1.35
CG15233	-0.96	-1.80
CG18622	-1.17	-0.69
CG33770	1.19	-0.27
CG12818	0.54	-1.05
Vps39	0.86	-0.68
mrn	-1.15	-0.27
Pgd	-0.70	0.25
CG6012	-1.43	0.44
CG30177	-0.53	-1.19
Obp19b	1.68	-0.87
CG7886	-1.20	-0.21
CG33128	-2.80	-1.88
Gr10b	0.62	-0.53
TfIIFbeta	1.15	-0.39
CG14722	-1.40	0.63
CG13731	-0.23	0.85
CG1999	-1.02	-0.56
Fancl	-1.87	-0.84
CG14778	-1.17	-0.21
CG14252	-1.29	0.70
nopo	1.44	0.25
ebd2	-0.76	0.52
ksh	1.03	0.84
Cad99C	-1.57	0.93
CG42724	-2.42	-2.26
CG15278	0.61	1.21
ATPCL	-1.02	-0.39
CG10038	-0.48	1.29
CG10176	0.58	0.96
CG8509	0.22	-1.45
CG31198	-0.95	1.31
eIF4AIII	-2.25	-3.15
CG4951	1.00	-0.81
nej	2.53	3.64
CG6283	1.42	0.60
scramb2	-0.18	1.52
CG3822	1.24	1.03
CG30281	-0.90	-1.70
CG12496	-0.75	-0.26
CG8680	-0.90	-1.26
Mdr50	0.93	-1.10
scramb1	-1.28	0.42
Acer	-1.27	1.38
E(bx)	-1.23	0.68
CG14634	-1.27	0.70
CG33552	0.62	0.53
AstC-R1	0.48	1.11
CG8009	-0.54	0.91
unc80	-1.03	0.92
CG10466	-2.05	0.73
CG7288	0.95	2.38
CG17110	-0.68	0.47
CG11073	3.08	1.11
CG10738	0.47	0.17
edin	0.20	-0.45
CG12659	0.24	0.36
side	-1.33	0.53
CG32201	0.63	0.75
msl-3	-0.69	-0.33
exex	-0.41	0.91
CG5538	-0.57	-0.30
Mal-A5	0.37	0.36
PEK	0.23	2.51
rdgA	0.61	0.62
CG3611	1.42	-0.67
CG14736	1.25	0.67
CG6379	0.46	0.80
CG3448	-0.06	-0.96
CenG1A	0.62	0.59
CG6429	-1.76	0.26
CG6184	1.66	-0.87
RpS16	3.17	-2.45
CG9642	-0.16	0.28
ldbr	-0.51	1.43
CG11537	-1.56	0.87
CG10257	0.94	1.22
CG7806	-1.01	0.69
CG9776	0.15	0.56
os	0.81	1.14
eIF-1A	1.81	-2.34
CG14526	-1.59	0.56
CG9752	-0.79	-0.53
CG17721	-1.60	-1.10
Scm	0.61	0.47
Nelf-E	-1.01	-1.17
Cka	-2.46	-2.34
Cp16	0.49	1.22
Csp	-0.87	-0.82
CG34106	-0.87	0.39
lt	0.83	-0.59
CG5039	-0.90	0.76
Edem2	-2.11	-1.27
CG8389	0.69	1.50
CG14780	-1.32	0.65
CG14391	0.35	-0.27
Rtnl1	-1.46	0.92
CG14014	-1.87	-0.69
Lar	0.88	1.17
CG17385	1.01	0.43
CG34217	1.25	1.06
tor	-0.60	0.71
CG13532	1.59	1.77
alph	1.08	0.58
CG10505	-2.13	0.67
CG32115	-1.45	-0.98
Cyp313b1	-0.70	-0.56
RpS9	1.40	-3.71
pst	-1.20	0.44
Tpl94D	0.54	0.54
CG11333	-1.47	-0.82
CG15638	-0.65	-0.28
Tsp42Eg	0.72	-0.50
Drsl2	-1.23	-0.61
gfzf	-0.76	-1.24
mtacp1	-0.82	-0.23
PlexA	-0.20	1.16
CG14246	-1.96	-0.16
RpS5a	2.67	-1.90
Ntmt	0.94	0.72
Hml	-0.67	0.70
CG1339	1.20	1.21
Drep-1	0.60	0.58
r2d2	-0.33	-0.38
CG17528	1.32	-0.13
CG31678	-1.78	-1.11
CG12309	0.77	0.53
spen	-1.68	1.29
CG10035	-0.84	0.10
CG5597	1.84	-1.61
CG6067	0.28	0.28
CG14309	1.23	-0.35
CG13033	0.56	0.49
mRpS18B	-0.55	-1.70
trx	-0.31	2.23
Pgant35A	-0.36	-0.97
lin-52	0.92	-0.97
CG11598	-0.76	-0.59
CG8838	1.00	-0.42
CG5861	0.87	-1.29
Eaat1	-0.58	-0.66
CG3630	0.48	0.60
Mt2	-0.96	-0.64
CG2712	-0.64	1.01
CG1139	0.04	0.74
CG11037	0.45	-0.83
Dbi	-1.22	0.26
CG31547	-1.55	0.85
CG5391	0.51	-1.08
wor	0.61	-1.09
CG32591	0.64	-0.65
CG15712	0.74	0.76
sktl	-1.69	-1.45
CG10384	0.40	-0.09
fon	-0.81	1.76
levy	-1.86	-0.78
CG7509	0.72	0.17
CG13999	0.72	0.57
Nmt	0.30	0.27
Paip2	1.63	0.42
Pp1-Y2	0.56	-0.75
CG31988	2.16	1.63
Tom20	-0.36	0.48
CG30479	-0.34	-0.28
Grip84	-1.31	-0.72
TwdlT	0.52	1.36
CG7713	-2.63	-1.57
CG14234	-1.50	-0.19
CG33278	-0.88	-0.37
CG32248	2.05	-0.77
Sap47	-1.49	2.52
CG7227	0.24	0.66
Ciao1	0.36	0.25
Nup98-96	6.27	-1.84
Pde9	-1.55	-0.69
CheB93a	-1.58	0.34
CG14397	-0.32	0.67
CG7766	-1.48	1.08
Spn28Db	0.28	0.56
Eo	-0.67	-0.71
CG3566	-0.16	1.60
CG7328	1.15	-0.43
nmdyn-D7	-1.32	-0.77
CG15629	-1.35	0.74
CG33476	0.50	1.20
CG31109	-0.86	-0.69
CG8671	-1.58	0.88
asrij	1.00	0.28
Dph5	-0.86	1.10
Buffy	2.28	0.47
CR32652	1.61	-1.16
CG2017	0.70	-0.65
CG5287	-0.81	-0.41
MFS18	-1.13	1.20
scw	-0.55	-0.77
CG4459	-0.55	0.50
CG10931	0.96	-0.41
CG18088	0.59	-0.34
CG11983	-0.28	0.42
CG14840	-1.97	1.19
Ada	0.56	1.91
Vps33B	-1.43	0.66
PGRP-SC1a	0.41	0.68
CG15147	-1.34	1.25
Irp-1B	0.54	1.55
CG18812	-0.55	0.75
CG31028	0.82	-0.29
CG10433	-0.96	-0.69
nxf4	1.76	-0.81
S-Lap3	-0.41	1.87
CG17270	0.44	0.58
VhaM9.7-a	0.78	-0.08
CG34247	1.00	-0.83
CG30369	-0.87	-1.22
CG9919	-0.92	-1.14
ctrip	-1.25	1.25
CG12935	0.35	-0.71
ppk24	1.78	0.36
CG14013	-0.53	-1.24
CR32661	1.28	0.90
Arpc5	2.47	-1.01
coil	-0.77	0.16
P5cr	0.68	-0.24
Xpac	-1.48	-0.56
CG7997	1.61	-1.15
shrb	-0.96	-2.08
fy	0.66	0.45
Zwilch	1.18	-0.26
Cyp6a19	0.64	-0.55
Elf	-1.08	-0.80
CG12290	-0.42	-0.59
mon2	0.85	-1.04
RpL21	4.51	-4.18
CG9175	0.55	-0.58
CG6136	0.40	1.92
FKBP59	-0.65	0.16
CG6729	-1.72	-1.69
Rcp	-1.08	-1.17
CG31102	0.60	0.89
miple	2.17	0.45
CG3092	-0.57	-0.14
A2bp1	-1.49	-0.46
CG31924	1.72	1.10
CG4769	-2.02	0.54
Psn	-0.43	-0.42
sky	3.33	3.39
CG5948	0.76	0.48
jdp	0.16	1.02
Hcs	-1.49	-1.14
ppk16	0.44	0.89
CG3797	-1.12	0.48
Ela	-0.24	1.42
CG13008	0.22	0.50
mRpS35	0.30	0.45
abs	-0.45	1.44
luna	-0.94	-0.42
CG11679	-0.36	0.67
CG8852	-1.61	1.21
CG5510	-0.56	0.98
fd19B	-0.91	0.97
Prosbeta2R1	-1.19	0.53
Dop2R	1.78	-0.67
dyl	2.83	1.39
mRpL40	0.41	0.14
CG11912	-1.08	-0.42
CG8435	-0.75	1.94
CG6766	-1.36	0.95
Art4	1.61	2.06
Ssl2	1.77	-0.71
Oatp33Eb	-0.99	0.34
snf	-0.74	0.95
CG1287	-2.21	0.76
CG32985	-1.71	0.03
CG32793	-0.52	0.75
Hr96	0.74	-1.45
Or88a	0.96	0.86
Hs3st-B	-1.19	-0.46
mi	1.24	0.88
CG5246	0.78	-0.87
Ncc69	0.64	-0.63
CG9928	-0.74	1.11
Fas2	-1.67	1.98
CG17715	-1.03	1.11
CG6678	0.57	0.62
CG31752	0.50	0.66
Jon25Bii	1.93	0.86
Ppm1	1.73	1.65
Fer1	0.97	-1.80
Sirt7	-1.43	0.33
Tnks	0.37	-0.71
eIF2B-gamma	0.62	-1.43
CG13983	0.37	1.91
mos	0.67	0.26
CG32368	-1.03	-0.60
CG12521	-1.50	0.82
CG10562	-1.52	0.22
CG13771	-0.35	-1.37
Osi17	-2.22	0.83
CG9879	0.25	1.37
CG9536	-1.07	-0.63
CG10474	-1.01	0.71
CG33702	-0.91	-0.42
Takl1	-0.68	0.85
CG5265	0.72	0.55
Tim17b1	-0.48	-0.44
CG14015	0.87	0.95
RabX4	1.74	1.59
rig	-1.74	0.52
CG15635	-0.88	-1.02
Nop60B	-1.47	-1.17
ClC-c	0.97	0.82
ago	1.42	2.22
TwdlE	-0.70	0.05
CG8560	0.63	0.48
bsf	0.40	-0.84
Ahcy89E	7.83	0.62
CR32821	-0.60	0.29
NTPase	-0.13	-1.20
CG31099	0.33	-0.51
CG3909	-0.97	-0.75
CG7970	0.80	0.56
Ory	-2.00	-1.11
Meics	-1.11	-0.44
CR30121	-1.29	-1.64
Orc1	-1.67	-1.08
tst	0.72	-1.90
CG14877	-0.08	-0.27
FucTA	0.71	-0.08
CG3257	0.41	-0.38
Npc2f	-1.22	1.32
CG12643	-0.81	0.48
CG32806	-0.75	-0.98
CG9497	0.73	0.59
CG1368	-0.48	1.02
CG15563	-1.33	-1.11
CG4374	-1.88	0.70
betaTub56D	1.58	-1.79
DptB	0.67	0.86
CG9451	-0.37	-0.58
CG1441	-0.68	0.46
CG11629	-1.57	0.54
RhoGEF4	0.89	0.77
mRpL19	-1.23	0.74
CG32075	-1.21	-0.84
AdenoK	0.87	1.71
CG10252	0.49	-1.17
Ripalpha	-1.36	-0.86
CG34439	-1.90	0.37
Rbf	0.94	1.24
CG8909	1.06	-0.23
plu	-0.23	0.53
CG2931	-0.60	0.89
CG11284	-0.73	0.87
Tab2	-1.05	0.48
Actn3	0.32	0.17
elav	2.54	1.46
ss	-0.48	0.49
Gr64f	1.20	-0.43
Stam	0.51	-0.36
mio	1.30	0.82
CG33287	-0.39	0.88
polybromo	2.81	-0.52
CNT1	-0.37	-0.34
Tomosyn	-1.77	1.28
CG9902	-1.39	-0.31
CG14830	1.79	0.77
CG13887	0.07	0.55
CG8260	-0.92	0.30
Arpc4	1.28	-0.14
CG3332	-0.74	0.43
CG16884	-1.41	-0.19
S-Lap5	0.83	1.08
Rpn12	-0.50	-1.62
ncm	1.42	1.31
CG5676	-0.90	0.54
CG3709	-1.36	0.36
Kap3	-0.87	0.23
CG10289	-1.43	-0.79
CG17189	0.95	-0.31
Syx16	-0.61	0.15
CG17259	-1.33	0.77
CG13692	0.30	1.31
CG5543	2.25	2.24
CG15019	-1.01	-0.41
CG9586	-1.07	0.34
CG13458	-0.31	-0.24
CG3967	1.20	-0.68
CG8891	1.19	-0.60
CG13838	-1.31	1.72
miple2	0.28	0.16
CG15510	0.43	1.23
CG8617	0.51	1.07
TppII	-0.78	-0.91
CG2127	-0.87	-0.21
fus	2.59	0.51
CG14744	0.15	0.42
CG9134	-1.39	0.97
CG2016	1.72	-1.47
CG33098	0.50	0.56
CG17929	0.66	1.17
lap	0.25	1.10
CG32037	-0.67	0.53
djl	1.73	1.06
Nufip	-0.25	-0.02
Tsp2A	0.90	-0.28
ort	0.87	0.32
CG10029	-0.07	-0.51
CG32982	-0.95	0.81
wtrw	-1.17	2.16
CG11985	3.27	-0.01
GABA-B-R1	1.45	1.26
Ice2	-0.31	0.56
pck	-0.23	0.73
fne	-1.46	-1.69
CG3862	-1.55	0.72
Prosbeta1	-1.80	-3.54
CG3209	1.05	0.93
Osbp	0.83	0.96
CG18304	0.34	-0.68
CG8562	0.52	0.39
CG33459	-1.30	0.29
dsb	0.49	0.54
CG8641	-0.26	0.50
CG8611	-0.74	-0.52
CG17807	0.26	-0.65
ATPsyn-Cf6	-0.48	-0.95
CG16739	-1.00	-0.17
CG14450	0.39	-0.49
CG7609	0.83	-1.76
Acp53C14b	-0.64	0.77
CG7603	-0.69	-0.75
skap	-0.65	1.20
CG5043	1.53	-1.56
msta	-0.78	-0.43
ltl	1.30	0.69
CG10654	-0.29	0.95
CG32971	-0.65	-1.23
pgant5	-1.34	0.43
ste24a	-2.12	0.82
CG5592	-1.26	-0.21
sing	-1.40	-0.59
JHDM2	-1.23	0.63
RpL17	4.91	-3.53
RpLP0-like	0.31	0.21
CG6432	0.78	-0.61
BobA	-1.21	1.10
AstA-R2	1.45	0.56
CG31948	-0.67	0.51
CG31053	0.65	-0.45
CG12289	0.57	0.49
CG7882	2.33	1.15
l(2)k10201	-0.76	0.54
CG15124	1.03	-0.22
Sytbeta	1.60	-1.46
AnxB11	-0.31	-1.07
CG6878	1.70	-0.82
pncr017:3R	0.30	1.08
CG17687	1.22	0.78
CG6629	0.37	0.80
Lcp1Psi	-0.76	-1.01
mRpL36	0.03	0.25
Scsalpha	-2.27	-1.20
CG32081	-0.86	0.40
CG6488	-1.84	0.51
CG10226	-1.41	1.48
CG31909	-2.38	-2.05
ida	0.85	-0.67
Tango11	1.05	1.06
Cyp4p3	-1.88	0.66
Nplp4	-0.12	0.17
CG30050	-1.02	-0.19
CG5033	0.43	0.44
CG4434	1.49	2.13
CG32833	0.61	0.33
pzg	-0.79	-2.57
CG16799	-1.79	-0.70
CG11151	-1.38	-0.63
CG32276	1.60	-0.76
Pbp95	1.30	1.29
rha	-1.90	-0.34
porin	-1.07	-0.38
CG7920	-1.70	-1.81
CG8517	-0.78	-0.41
CG14088	-2.04	-1.23
CG32379	-0.63	0.13
CG17267	1.11	1.25
GstD9	0.51	0.99
CG31862	1.67	-1.08
per	-1.27	0.71
unc-45	-0.57	0.51
alpha-Est4	-1.02	0.15
b	0.38	0.53
escl	-1.07	-0.54
CG14194	-1.35	-0.21
CG10395	-1.28	-2.08
5PtaseI	1.32	0.85
CG34168	-0.60	-0.81
CG10932	-0.19	-0.27
CG14759	-0.67	-0.98
CG3309	-1.27	0.93
Slimp	-0.39	-0.43
CG16756	-1.48	0.89
CG12795	-0.54	1.25
CR34047	-0.74	1.35
rtp	-1.41	-1.16
MED17	3.83	-1.04
Corp	-0.85	0.33
CG7536	-0.87	0.93
CG30094	-0.16	-0.42
TwdlU	-0.77	1.32
CG16848	-0.85	0.36
CG7857	-0.79	-1.18
CG3734	-0.77	1.24
CG3523	1.50	-3.02
eIF-3p66	1.02	-2.31
Cisd2	-0.78	1.51
RpII215	2.48	-2.47
G9a	-0.38	0.24
Pvf2	-1.45	1.47
Dhpr	1.36	0.29
Cdk8	4.86	1.58
spz6	0.03	0.91
CG10660	3.47	-2.16
p	0.91	0.93
CG16852	-1.30	1.16
ple	1.32	-3.08
elm	-1.08	-1.39
Mlc1	0.12	0.87
Pdh	-0.48	1.25
CG15449	1.14	-0.52
stc	2.22	-1.40
PpY-55A	0.40	0.90
Cht5	1.88	-1.17
Hrs	-1.01	0.08
Dip3	-1.40	-0.81
Tsp42El	-0.11	-0.36
lace	1.69	-1.47
CG30002	1.77	1.83
CG17111	-0.48	0.79
CG31619	-0.94	0.53
CG10265	0.58	0.51
ppan	1.50	-0.46
Muc26B	2.23	1.64
nbs	-1.12	0.98
CG15097	0.75	-0.59
Ugt86Dc	1.17	0.58
l(2)34Fc	-0.14	1.08
GstD8	-1.85	-2.33
Cpr73D	-0.28	0.70
CG42695	1.46	-0.58
CG12869	-1.26	-0.57
Alk	0.91	-0.73
Rpb8	0.71	-2.07
Nuf2	0.59	-0.64
Cpr11B	-0.80	1.74
spict	0.27	0.70
Ugt58Fa	-0.70	-1.10
CG30046	-1.00	-0.63
CG3868	0.50	1.13
CG42383	-0.75	-1.31
Pdfr	-0.93	1.21
Galphaf	-0.17	1.27
az2	-0.48	0.46
SmD3	0.45	-0.41
lin-28	0.15	1.21
Nc73EF	1.50	1.03
CG17193	0.80	-0.47
P5cr-2	0.76	0.27
ssp7	-0.83	0.52
betaCOP	1.31	-4.46
CG14298	-1.67	0.47
Toll-4	0.23	0.40
CG14286	-0.83	0.22
wgn	-1.22	-0.38
ppk19	-0.70	0.49
CG42562	-1.22	-0.85
upd2	0.63	-2.28
Sin1	0.59	0.68
CG9676	-0.38	-0.64
CG4221	-0.63	0.37
eIF-4E	1.93	-2.62
Syx18	0.56	-0.74
mip40	-0.44	-1.05
Proc-R	0.52	-0.31
TpnC4	-1.07	0.22
CG12128	-1.19	0.47
CG14411	-0.57	-0.51
Klp31E	-1.35	-0.59
CG13186	-1.46	0.24
mof	-1.50	-0.64
crol	-1.11	0.68
CG7366	-0.69	0.19
Met	-0.92	0.61
CG15912	-0.70	0.11
CG31739	-0.83	0.36
CG16888	-1.59	0.56
Gr28b	0.77	1.02
CG34371	1.11	0.50
CG9436	1.48	1.54
rl	9.67	-1.82
CG14590	1.01	1.16
CG7557	-1.53	0.57
CG30460	-1.54	-0.70
CG1628	0.49	-0.78
Sox15	3.15	-1.07
RpL14	3.86	-4.19
CG30345	-1.39	0.47
Osm6	-2.54	-0.94
Gr98c	0.43	-1.03
CG4788	0.49	0.49
CG42500	-1.16	-0.33
CG16791	2.14	0.83
CG7567	-1.24	0.79
CG8503	-0.62	1.32
CG18735	1.34	1.38
CG10960	-0.79	-0.62
CG11190	0.41	0.65
CG2962	-0.77	0.70
CG15452	-0.66	0.34
prom	2.12	3.19
CG31693	-1.90	1.48
l(2)k09913	0.71	0.72
CG13392	1.08	0.43
nAChRalpha1	-0.32	-0.51
CG34127	-2.04	0.71
CG31815	-0.78	-0.57
Rrp45	-0.55	-0.19
CG14870	-0.61	-0.50
CG13613	1.13	-0.83
Membrin	1.07	0.01
CG14508	0.74	1.18
CG7627	-1.06	0.23
Glt	-1.17	0.47
Su(fu)	1.14	0.91
CG42650	1.39	1.44
l(2)37Cb	0.69	-0.74
lectin-37Db	1.18	0.27
CG10139	0.34	-0.36
erm	-0.35	0.89
CG11137	-1.64	0.75
Hira	-0.79	0.37
CG15548	0.21	-2.20
CG33298	-1.88	0.39
Obp22a	-0.97	0.81
CG15523	-1.03	1.30
CG17078	0.82	-1.54
Tsc1	-1.20	0.81
Actbeta	1.51	0.76
kl-2	-1.13	0.11
CG4669	-0.43	-1.38
cyp33	-0.83	-0.52
RpL24-like	0.38	-2.25
CG5863	0.54	1.07
CG10053	0.57	-0.58
CG12862	-1.01	0.33
CG7548	1.38	0.69
CG42233	-0.60	-1.36
Prosbeta5R2	2.01	0.61
MED7	1.13	-0.24
